1.737484,1.608587,-90.010477,5.128009,5.128009,X,X,X,X,X,X,X,X
1.737480,1.583575,-90.010504,5.127946,5.127896,X,X,X,X,X,X,X,X
1.737476,1.558572,-90.010579,5.128032,5.128007,X,X,X,X,X,X,X,X
1.737473,1.533586,-90.010496,5.127955,5.127942,X,X,X,X,X,X,X,X
1.737465,1.508575,-90.010464,5.128062,5.128041,X,X,X,X,X,X,X,X
1.737460,1.483583,-90.010363,5.128068,5.128081,X,X,X,X,X,X,X,X
1.737454,1.458576,-90.010353,5.128012,5.127982,X,X,X,X,X,X,X,X
1.737450,1.433598,-90.010301,5.128029,5.128013,X,X,X,X,X,X,X,X
1.737448,1.408593,-90.010108,5.128012,5.128008,X,X,X,X,X,X,X,X
1.737441,1.383616,-90.010044,5.127922,5.127893,X,X,X,X,X,X,X,X
1.737436,1.358625,-90.009941,5.127941,5.127905,X,X,X,X,X,X,X,X
1.737431,1.333600,-90.009840,5.128086,5.128089,X,X,X,X,X,X,X,X
1.737428,1.308615,-90.009554,5.127980,5.127973,X,X,X,X,X,X,X,X
1.737423,1.283639,-90.009363,5.127958,5.127955,0,0,-1.224758,0.051096,4.689387,-0.004976,7.489222,179.601805
1.737419,1.258621,-90.009120,5.127942,5.127901,X,X,X,X,X,X,X,X
